epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,25799,0.26986,0.3144,0.97815,0.99897,0.99904,0.99499,0.97428,0.27006,0.14265,0.92757,0.000253024,0.000253024,0.000253024
69,26147.8,0.26933,0.31277,0.97787,0.99899,0.99902,0.99498,0.97437,0.26984,0.14255,0.92737,0.000239766,0.000239766,0.000239766
70,26496.8,0.26779,0.30979,0.9771,0.99903,0.99904,0.99498,0.97454,0.26975,0.14278,0.92714,0.000226769,0.000226769,0.000226769
71,26847.2,0.26709,0.30576,0.97629,0.99901,0.99904,0.99498,0.97425,0.2696,0.14298,0.92693,0.000214046,0.000214046,0.000214046
72,27196.5,0.26374,0.30466,0.97538,0.99902,0.99903,0.99498,0.97451,0.26942,0.14312,0.9268,0.000201611,0.000201611,0.000201611
73,27546.5,0.26439,0.30094,0.97573,0.99907,0.99902,0.99498,0.97451,0.26934,0.14294,0.92666,0.000189475,0.000189475,0.000189475
74,27895.2,0.26293,0.30374,0.97529,0.99906,0.99902,0.99498,0.97451,0.2693,0.14302,0.92656,0.000177651,0.000177651,0.000177651
75,28244.6,0.26446,0.30038,0.97565,0.99909,0.99901,0.99498,0.97388,0.26911,0.14281,0.92637,0.000166149,0.000166149,0.000166149
76,28594.4,0.26058,0.29486,0.97372,0.99912,0.99901,0.99498,0.97422,0.26907,0.1431,0.92624,0.000154982,0.000154982,0.000154982
77,28957.6,0.26015,0.29234,0.97452,0.99913,0.999,0.99498,0.97404,0.26909,0.14325,0.92616,0.000144161,0.000144161,0.000144161
78,29307,inf,0.29651,0.97428,0.99912,0.99901,0.99498,0.97384,0.26901,0.14339,0.92613,0.000133695,0.000133695,0.000133695
79,29656.7,0.26054,0.293,0.97301,0.99911,0.99901,0.99498,0.97401,0.2689,0.14337,0.92601,0.000123596,0.000123596,0.000123596
80,30006.1,0.25965,0.29265,0.97333,0.99912,0.99901,0.99498,0.97421,0.26868,0.14329,0.92591,0.000113873,0.000113873,0.000113873
81,30355.4,0.25902,0.28756,0.97484,0.99913,0.99901,0.99497,0.97429,0.26846,0.14353,0.92583,0.000104537,0.000104537,0.000104537
82,30704.4,0.25691,0.28571,0.97207,0.99913,0.99901,0.99498,0.9739,0.26832,0.14376,0.92579,9.55951e-05,9.55951e-05,9.55951e-05
83,31053.6,0.25897,0.28645,0.97347,0.99914,0.99901,0.99497,0.97379,0.26828,0.14398,0.92571,8.70577e-05,8.70577e-05,8.70577e-05
84,31403.2,0.25709,0.28507,0.97256,0.99912,0.99901,0.99497,0.97402,0.26821,0.14416,0.92558,7.89327e-05,7.89327e-05,7.89327e-05
